Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sprint_GetOffTime - P3,,,2018-10-02 08:18:40,2018-10-02 08:19:01,21.151s,FAILED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:18:40,2018-10-02 08:18:41,1.064s,PASSED
callTestCase,,,2018-10-02 08:18:40,2018-10-02 08:18:41,0.377s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:18:41,2018-10-02 08:18:41,0.001s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 08:18:41,2018-10-02 08:18:41,0.492s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 08:18:41,2018-10-02 08:18:41,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 08:18:41,2018-10-02 08:18:41,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 08:18:41,2018-10-02 08:18:41,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 08:18:41,2018-10-02 08:18:41,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 08:18:41,2018-10-02 08:18:41,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 08:18:41,2018-10-02 08:18:41,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 08:18:41,2018-10-02 08:18:41,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 08:18:41,2018-10-02 08:18:41,0.001s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:18:41,2018-10-02 08:18:41,0.243s,PASSED
callTestCase,,,2018-10-02 08:18:41,2018-10-02 08:18:41,0.081s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:18:41,2018-10-02 08:18:41,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 08:18:41,2018-10-02 08:18:41,0.151s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 08:18:41,2018-10-02 08:18:41,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 08:18:41,2018-10-02 08:18:41,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 08:18:41,2018-10-02 08:18:41,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 08:18:41,2018-10-02 08:18:41,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 08:18:41,2018-10-02 08:18:41,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 08:18:41,2018-10-02 08:18:41,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 08:18:41,2018-10-02 08:18:41,0.001s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 08:18:41,2018-10-02 08:18:41,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:18:41,2018-10-02 08:18:42,0.233s,PASSED
callTestCase,,,2018-10-02 08:18:42,2018-10-02 08:18:42,0.075s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:18:42,2018-10-02 08:18:42,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 08:18:42,2018-10-02 08:18:42,0.147s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 08:18:42,2018-10-02 08:18:42,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 08:18:42,2018-10-02 08:18:42,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 08:18:42,2018-10-02 08:18:42,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 08:18:42,2018-10-02 08:18:42,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 08:18:42,2018-10-02 08:18:42,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 08:18:42,2018-10-02 08:18:42,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 08:18:42,2018-10-02 08:18:42,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 08:18:42,2018-10-02 08:18:42,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:18:42,2018-10-02 08:18:42,0.209s,PASSED
callTestCase,,,2018-10-02 08:18:42,2018-10-02 08:18:42,0.071s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:18:42,2018-10-02 08:18:42,0.001s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 08:18:42,2018-10-02 08:18:42,0.129s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 08:18:42,2018-10-02 08:18:42,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 08:18:42,2018-10-02 08:18:42,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 08:18:42,2018-10-02 08:18:42,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 08:18:42,2018-10-02 08:18:42,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 08:18:42,2018-10-02 08:18:42,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 08:18:42,2018-10-02 08:18:42,0.000s,PASSED
