Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sprint_GetOperationCode,,,2018-10-02 16:20:52,2018-10-02 16:23:00,2m - 7.544s,FAILED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 16:20:52,2018-10-02 16:21:02,9.389s,PASSED
callTestCase,,,2018-10-02 16:20:53,2018-10-02 16:20:53,0.456s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 16:20:53,2018-10-02 16:21:02,8.682s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 16:21:02,2018-10-02 16:21:02,0.001s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 16:21:02,2018-10-02 16:21:02,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 16:21:02,2018-10-02 16:21:02,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 16:21:02,2018-10-02 16:21:02,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 16:21:02,2018-10-02 16:21:02,0.001s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 16:21:02,2018-10-02 16:21:02,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 16:21:02,2018-10-02 16:21:02,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 16:21:02,2018-10-02 16:21:02,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 16:21:02,2018-10-02 16:21:02,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 16:21:02,2018-10-02 16:21:08,6.132s,PASSED
callTestCase,,,2018-10-02 16:21:02,2018-10-02 16:21:02,0.077s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 16:21:02,2018-10-02 16:21:08,6.045s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 16:21:08,2018-10-02 16:21:08,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 16:21:08,2018-10-02 16:21:08,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 16:21:08,2018-10-02 16:21:08,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 16:21:08,2018-10-02 16:21:08,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 16:21:08,2018-10-02 16:21:08,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 16:21:08,2018-10-02 16:21:08,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 16:21:08,2018-10-02 16:21:08,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 16:21:08,2018-10-02 16:21:08,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 16:21:08,2018-10-02 16:21:08,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 16:21:08,2018-10-02 16:21:20,12.146s,PASSED
callTestCase,,,2018-10-02 16:21:08,2018-10-02 16:21:08,0.071s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 16:21:08,2018-10-02 16:21:20,12.066s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 16:21:20,2018-10-02 16:21:20,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 16:21:20,2018-10-02 16:21:20,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 16:21:20,2018-10-02 16:21:20,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 16:21:20,2018-10-02 16:21:20,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 16:21:20,2018-10-02 16:21:20,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 16:21:20,2018-10-02 16:21:20,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 16:21:20,2018-10-02 16:21:20,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 16:21:20,2018-10-02 16:21:20,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 16:21:20,2018-10-02 16:21:20,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 16:21:20,2018-10-02 16:21:20,0.250s,FAILED
callTestCase,,,2018-10-02 16:21:20,2018-10-02 16:21:20,0.076s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 16:21:20,2018-10-02 16:21:20,0.165s,FAILED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 16:21:20,2018-10-02 16:21:21,0.218s,FAILED
callTestCase,,,2018-10-02 16:21:20,2018-10-02 16:21:20,0.069s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 16:21:20,2018-10-02 16:21:21,0.142s,FAILED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 16:21:21,2018-10-02 16:21:43,21.997s,FAILED
callTestCase,,,2018-10-02 16:21:21,2018-10-02 16:21:21,0.066s,PASSED
