Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sprint_GetPickUpTime - P2,,,2018-10-02 08:19:59,2018-10-02 08:20:20,21.341s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:19:59,2018-10-02 08:20:00,1.074s,PASSED
callTestCase,,,2018-10-02 08:19:59,2018-10-02 08:20:00,0.358s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.001s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.513s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.001s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.001s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.190s,PASSED
callTestCase,,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.077s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.102s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.181s,PASSED
callTestCase,,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.073s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.098s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.001s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:20:00,2018-10-02 08:20:01,0.187s,PASSED
callTestCase,,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.072s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:00,0.001s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 08:20:00,2018-10-02 08:20:01,0.106s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.168s,PASSED
callTestCase,,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.070s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.090s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.001s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.171s,PASSED
callTestCase,,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.072s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.092s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.001s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:20:01,2018-10-02 08:20:01,0.161s,PASSED
