Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sprint_GetTransport,,,2018-10-02 08:20:21,2018-10-02 08:20:27,6.088s,FAILED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:20:21,2018-10-02 08:20:22,1.103s,FAILED
callTestCase,,,2018-10-02 08:20:22,2018-10-02 08:20:22,0.423s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:20:22,2018-10-02 08:20:22,0.001s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 08:20:22,2018-10-02 08:20:22,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 08:20:22,2018-10-02 08:20:22,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 08:20:22,2018-10-02 08:20:22,0.001s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 08:20:22,2018-10-02 08:20:22,0.497s,FAILED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:20:22,2018-10-02 08:20:23,0.510s,PASSED
callTestCase,,,2018-10-02 08:20:22,2018-10-02 08:20:23,0.084s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.001s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.411s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.001s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.267s,PASSED
callTestCase,,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.075s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.001s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.179s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.001s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.217s,FAILED
callTestCase,,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.071s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 08:20:23,2018-10-02 08:20:23,0.138s,FAILED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:20:23,2018-10-02 08:20:24,0.264s,PASSED
callTestCase,,,2018-10-02 08:20:23,2018-10-02 08:20:24,0.075s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.179s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.279s,PASSED
callTestCase,,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.070s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.199s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
"Statement - If (var_Status_ChangeBooking == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
"Statement - If (var_Status_CancelBooking == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.213s,FAILED
callTestCase,,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.070s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.137s,FAILED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.249s,PASSED
callTestCase,,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.068s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-02 08:20:24,2018-10-02 08:20:24,0.000s,PASSED
