Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sprint_ReserveTimeslot,,,2018-10-03 15:55:11,2018-10-03 15:55:13,1.627s,FAILED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase - AllSprints,,,2018-10-03 15:55:12,2018-10-03 15:55:13,1.424s,FAILED
callTestCase,,,2018-10-03 15:55:12,2018-10-03 15:55:12,0.451s,PASSED
"Statement - If (var_Status_OpCode == ""true"")",,,2018-10-03 15:55:12,2018-10-03 15:55:12,0.000s,PASSED
"Statement - If (var_Status_GetOffTime == ""true"")",,,2018-10-03 15:55:12,2018-10-03 15:55:12,0.001s,PASSED
"Statement - If (var_Status_PickupTime == ""true"")",,,2018-10-03 15:55:12,2018-10-03 15:55:12,0.000s,PASSED
"Statement - If (var_Status_ReservedTimeslot == ""true"")",,,2018-10-03 15:55:12,2018-10-03 15:55:12,0.001s,PASSED
"Statement - If (var_Status_GetTransport == ""true"")",,,2018-10-03 15:55:12,2018-10-03 15:55:12,0.000s,PASSED
"Statement - If (var_Status_MakeBooking == ""true"")",,,2018-10-03 15:55:12,2018-10-03 15:55:12,0.000s,PASSED
"Statement - If (var_Status_SearchBooking == ""true"")",,,2018-10-03 15:55:12,2018-10-03 15:55:12,0.000s,PASSED
"Statement - If (var_Status_GetBookingDetail == ""true"")",,,2018-10-03 15:55:12,2018-10-03 15:55:13,0.738s,FAILED
