Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Toyota,,,2018-09-20 23:31:00,2018-09-20 23:31:12,12.722s,PASSED
,,,,,,
Test Cases/Toyota_GetServiceOperation_JSON,,,2018-09-20 23:31:00,2018-09-20 23:31:07,7.153s,PASSED
"Statement - GetServiceOperation = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Toyota/GetServiceOperations_JSON, [Dealer_Code:internal.GlobalVariable.Glb_Dealer_Code, Location_Code:internal.GlobalVariable.Glb_Location_Code, VIN:internal.GlobalVariable.Glb_VIN, ... ])",,,2018-09-20 23:31:00,2018-09-20 23:31:00,0.018s,PASSED
"Statement - GetServiceOperation.getHttpHeaderProperties().add(new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Basic  + internal.GlobalVariable.Glb_Authorization_Token)))",,,2018-09-20 23:31:00,2018-09-20 23:31:00,0.007s,PASSED
Statement - res_GetServiceOperation = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(GetServiceOperation),,,2018-09-20 23:31:00,2018-09-20 23:31:07,6.785s,PASSED
verifyResponseStatusCode,,,2018-09-20 23:31:07,2018-09-20 23:31:07,0.007s,PASSED
,,,,,,
Test Cases/Toyota_GetDropOffTimes_JSON,,,2018-09-20 23:31:07,2018-09-20 23:31:08,1.048s,PASSED
Statement - Start_Date = Glb_ServiceDate,,,2018-09-20 23:31:07,2018-09-20 23:31:07,0.000s,PASSED
Statement - End_Date = Glb_ServiceDate,,,2018-09-20 23:31:07,2018-09-20 23:31:07,0.000s,PASSED
"Statement - mainrequest = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Toyota/GetDropOffTimes_JSON, [Start_Date:Start_Date, End_Date:End_Date, ServiceBay_Type:internal.GlobalVariable.Glb_ServiceBay_Type, Duration_Time:internal.GlobalVariable.Glb_Duration_Time, ... ])",,,2018-09-20 23:31:07,2018-09-20 23:31:07,0.004s,PASSED
