Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Toyota_Demo,,,2018-09-21 12:45:05,2018-09-21 12:45:25,20.329s,PASSED
,,,,,,
Test Cases/TOYOTA/Main_Toyota_TestCase,,,2018-09-21 12:45:05,2018-09-21 12:45:25,20.109s,PASSED
callTestCase,,,2018-09-21 12:45:06,2018-09-21 12:45:06,0.233s,PASSED
callTestCase,,,2018-09-21 12:45:06,2018-09-21 12:45:15,9.524s,PASSED
callTestCase,,,2018-09-21 12:45:15,2018-09-21 12:45:17,1.476s,PASSED
callTestCase,,,2018-09-21 12:45:17,2018-09-21 12:45:18,0.888s,PASSED
callTestCase,,,2018-09-21 12:45:18,2018-09-21 12:45:18,0.702s,PASSED
callTestCase,,,2018-09-21 12:45:18,2018-09-21 12:45:19,0.409s,PASSED
callTestCase,,,2018-09-21 12:45:19,2018-09-21 12:45:24,5.571s,PASSED
callTestCase,,,2018-09-21 12:45:24,2018-09-21 12:45:25,0.387s,PASSED
callTestCase,,,2018-09-21 12:45:25,2018-09-21 12:45:25,0.660s,PASSED
